iter	Logloss
0	0.6872145906
1	0.6820789274
2	0.6765408184
3	0.6718454281
4	0.6663109596
5	0.6610102794
6	0.6558176765
7	0.6503056199
8	0.6452692172
9	0.6399357725
10	0.6338883919
11	0.6300674038
12	0.6250378271
13	0.6204890237
14	0.6153832239
15	0.6109486981
16	0.6069361288
17	0.6030414207
18	0.5989641188
19	0.5944662824
20	0.5903037132
21	0.5864241359
22	0.5824855142
23	0.5781694184
24	0.5745196475
25	0.5708750531
26	0.5674388772
27	0.5642305168
28	0.5610639085
29	0.5576195415
30	0.5545560616
31	0.5517357558
32	0.548814938
33	0.5458954854
34	0.5425727338
35	0.5384525422
36	0.5356060703
37	0.5330635799
38	0.5306432739
39	0.5278518645
40	0.5240811608
41	0.5209864523
42	0.5177718349
43	0.5147315064
44	0.5117875942
45	0.5094531243
46	0.5067755373
47	0.504677586
48	0.5027280989
49	0.5003014788
50	0.4975622878
51	0.4950916973
52	0.4932461919
53	0.4913395375
54	0.4892268536
55	0.4873633732
56	0.4848259455
57	0.4827692911
58	0.4805394287
59	0.4788010904
60	0.4770180423
61	0.4750651422
62	0.4729422478
63	0.4712204909
64	0.4692259526
65	0.4676063003
66	0.4661241053
67	0.4645132983
68	0.4631357961
69	0.4617791414
70	0.4603429077
71	0.4589086649
72	0.4575236826
73	0.4561460382
74	0.4545398671
75	0.4531716652
76	0.4519913472
77	0.4507287767
78	0.4495277818
79	0.4476020716
80	0.4463584146
81	0.4443838706
82	0.4431937687
83	0.4418288661
84	0.4406182864
85	0.4395415804
86	0.4385263932
87	0.4370324519
88	0.435892094
89	0.434950058
90	0.4336956502
91	0.4325099852
92	0.4314416694
93	0.4304977563
94	0.4293993495
95	0.4281691738
96	0.4273052379
97	0.4263083953
98	0.4253918428
99	0.4245517977
100	0.423475689
101	0.4224107862
102	0.4215939492
103	0.4207613557
104	0.4197069762
105	0.4187287628
106	0.4178562945
107	0.4171316077
108	0.4164737013
109	0.415603622
110	0.4145742994
111	0.4139336569
112	0.4130466266
113	0.4119586578
114	0.4109280269
115	0.4103148303
116	0.4098790512
117	0.4092834315
118	0.4085608493
119	0.4077614185
120	0.4074092003
121	0.4065664248
122	0.4058809018
123	0.4052902024
124	0.4042852256
125	0.4034612783
126	0.4025382127
127	0.4015900334
128	0.400943532
129	0.4003961773
130	0.3998137544
131	0.3991528047
132	0.398443135
133	0.3976402912
134	0.3971381014
135	0.3966074418
136	0.3959989097
137	0.3952479714
138	0.3944605145
139	0.3939780346
140	0.393249366
141	0.3926806802
142	0.3922356292
143	0.3916081267
144	0.3909493386
145	0.39045096
146	0.3899034062
147	0.3895009035
148	0.3890930539
149	0.3886547435
150	0.3882241407
151	0.3877654094
152	0.3873482595
153	0.3868007057
154	0.3863561382
155	0.3858911782
156	0.3854846369
157	0.3850570489
158	0.3844216112
159	0.3839325329
160	0.3834152976
161	0.3828431136
162	0.3821992572
163	0.3817682279
164	0.381308814
165	0.3808889621
166	0.3804974093
167	0.3800893606
168	0.3795573358
169	0.3791172336
170	0.3785303738
171	0.377866125
172	0.3774356644
173	0.3769649877
174	0.3764382246
175	0.3760980655
176	0.3754306312
177	0.3751178612
178	0.3745924348
179	0.3739117752
180	0.3733935445
181	0.3730394776
182	0.3726654163
183	0.3721604677
184	0.3717151608
185	0.3711951951
186	0.3708075958
187	0.3702902752
188	0.3698779602
189	0.3695101276
190	0.3691481824
191	0.3686790131
192	0.3682846447
193	0.3678645652
194	0.3675166416
195	0.3672333653
196	0.3669713916
197	0.3665638264
198	0.3661052942
199	0.3655206528
200	0.3650079397
201	0.3645209661
202	0.3642170698
203	0.3637848458
204	0.3633723318
205	0.3629905629
206	0.3625462798
207	0.3622364677
208	0.3617611551
209	0.3615185499
210	0.3611815194
211	0.3609552396
212	0.3605720771
213	0.3602522251
214	0.359966901
215	0.3596516566
216	0.3594750924
217	0.3590541028
218	0.3587054682
219	0.3584256617
220	0.3581317483
221	0.3577886597
222	0.3575597349
223	0.3571942061
224	0.3569490981
225	0.3565763736
226	0.3563151962
227	0.3560291326
228	0.3557186095
229	0.3553392581
230	0.3549563516
231	0.3546010047
232	0.3541157092
233	0.353743525
234	0.3532899985
235	0.3529080305
236	0.3525249818
237	0.3522642879
238	0.3518851357
239	0.3515145158
240	0.3511158812
241	0.3508078324
242	0.3506605913
243	0.3502052729
244	0.3498664506
245	0.3496242436
246	0.3494173325
247	0.3490040505
248	0.348684483
249	0.3483305013
250	0.3479367017
251	0.347746315
252	0.3475138635
253	0.3473043073
254	0.3470954621
255	0.3469300753
256	0.3467280561
257	0.3464983634
258	0.3462548481
259	0.345852573
260	0.3455851101
261	0.3452855368
262	0.3450973401
263	0.3448108499
264	0.3446051048
265	0.3444025168
266	0.3441339162
267	0.3439427616
268	0.3436061007
269	0.3433257254
270	0.3429339168
271	0.3426732798
272	0.3425237065
273	0.3421132118
274	0.3418344861
275	0.341524418
276	0.3410702373
277	0.3406760111
278	0.3405025754
279	0.3402384117
280	0.3398353971
281	0.339602007
282	0.3394206647
283	0.3392844872
284	0.3391484805
285	0.3388973998
286	0.3386806195
